,nyt_title,nyt_date,poli_con_class,nyt_url,nyt_abstract,news_index
1,"Peter Magubane, 91, Who Fought Apartheid With His Camera, Is Dead",2024-01-01,0,https://www.nytimes.com/2024/01/01/world/africa/peter-magubane-dead.html,"He documented the cruelties of white South African rule, and he was made to pay for it, enduring beatings and 586 consecutive days in solitary confinement.",68
5,Knife Attack on Opposition Leader Raises Alarms in Polarized South Korea,2024-01-03,1,https://www.nytimes.com/2024/01/03/world/asia/south-korea-opposition-leader-stabbing.html,"The attack on Lee Jae-myung, who narrowly lost the 2022 presidential vote, came amid a deepening political divide and increasingly extreme discourse in South Korea.",220
11,Ukraine’s Patriot Defenses at Work: Shuddering Booms and Bursts of Light,2024-01-06,1,https://www.nytimes.com/2024/01/06/world/europe/ukraine-patriots-us.html,"The American-provided air-defense systems have helped Ukraine defend itself against Russian assaults, but Washington has warned that it will not be able to keep them supplied for much longer.",627
13,"With Shutdown Looming, House and Senate Leaders Agree on Spending Levels",2024-01-07,0,https://www.nytimes.com/2024/01/07/us/congress-spending-deal-shutdown.html,"Despite the deal, time is short to assemble and pass legislation putting the agreement in force before a Jan. 19 deadline.",722
14,"As the College Sports Model Teeters, Champion Michigan Works to Balance",2024-01-08,0,https://www.nytimes.com/2024/01/08/us/national-championship-football-michigan-washington.html,The Wolverines beat the Washington Huskies 34-13 Monday night to win the College Football Playoff National Championship.,777
17,"Exhausted, on the Defensive and at ‘Hell’s Gate’ in Ukraine",2024-01-08,1,https://www.nytimes.com/2024/01/08/world/europe/ukraine-troops-exhausted-defensive.html,"The country’s forces along a broad stretch of the front say that, with Russia pushing forward, the war has never been so dangerous.",794
18,Trump’s Lawyers Say He Should Be Immune From Prosecution in Georgia Case,2024-01-08,0,https://www.nytimes.com/2024/01/08/us/trump-georgia-election-case-immunity.html,The motion echoes an argument that former President Donald J. Trump is making in a separate federal criminal case against him.,818
19,What if Joe Biden Is Actually Right About 2024?,2024-01-08,0,https://www.nytimes.com/2024/01/08/opinion/editorials/joe-biden-donald-trump-2024.html,The president performed a public service by forthrightly stating what could happen to the country and its democracy if Trump wins again.,826
20,Chairman of Florida Republican Party Is Ousted Amid Scandal,2024-01-08,0,https://www.nytimes.com/2024/01/08/us/christian-ziegler-florida-republican.html,"Gov. Ron DeSantis and Senator Rick Scott had called for the resignation of the chairman, Christian Ziegler, who is being investigated for sexual assault.",838
22,Brutal Cold Expected for Kansas City’s Playoff Game,2024-01-09,0,https://www.nytimes.com/2024/01/09/us/kansas-city-playoff-cold.html,"The temperature on Saturday evening, when the team will play the Miami Dolphins, will be around minus 3 degrees.",951
27,How to Watch Trump’s Town Hall on Fox News,2024-01-10,0,https://www.nytimes.com/2024/01/10/us/politics/trump-town-hall-iowa-watch.html,Fox News will host the event from Iowa starting at 9 p.m. Eastern time tonight.,1081
28,Severe Storms Rip Roofs Off of Homes in the Southeast,2024-01-10,0,https://www.nytimes.com/video/us/100000009258589/storm-south-tornadoes.html,Strong winds and likely tornadoes destroyed several buildings in the Southeast.,1089
30,The Scariest Part About the Boeing 737 Max 9 Blowout,2024-01-10,0,https://www.nytimes.com/2024/01/10/opinion/boeing-737-max-alaska-japan-airlines.html,What I heard wasn’t necessarily reassuring.,1138
33,Right Wing Pressures Johnson to Abandon Spending Deal to Avert Shutdown,2024-01-11,0,https://www.nytimes.com/2024/01/11/us/politics/spending-deal-government-shutdown.html,Speaker Mike Johnson said he was talking with his ultraconservative colleagues about walking away from the agreement he struck with Democrats but had “made no commitments.”,1300
