news_index,nyt_txt,nyt_ner,country
0,pga tour and saudi backed liv extend deadline to finalize deal the tentative deal for the men s golf circuits to join forces had a dec 31 deadline but significant questions remained,,NA
2,u s helicopters sink 3 houthi boats in red sea pentagon says iranian backed houthi gunmen from yemen had fired on american helicopters responding to an attack on a commercial ship american officials said,houthi,Yemen
3,in times square hundreds of thousands ring in 2024 new year s celebrations took place as protesters against the israel hamas war staged demonstrations in midtown manhattan,hamas,Lebanon
3,in times square hundreds of thousands ring in 2024 new year s celebrations took place as protesters against the israel hamas war staged demonstrations in midtown manhattan,hamas,Palestine
5,half of gazans are at risk of starving u n warns more than 90 percent of palestinians in the territory say they have regularly gone without food for a whole day according to the united nations,,NA
10,what s on tv this week rupaul s drag race and the golden globes the competition show featuring drag queens comes back for a 16th season the annual award show airs on cbs,,NA
21,what our critics are looking forward to in 2024 mad max gets a prequel the wiz returns to broadway and larry david gets another crack at a series finale,,NA
36,actress carrie bernans among people injured in midtown new year s crash the motorist struck cars and a food truck in midtown early monday morning at least nine people were injured including ms bernans an actress and stuntwoman,,NA
38,israel says it will pull several brigades from gaza strip analysts say the announcement could signal a shift to the more limited and targeted war against hamas that the united states has been urging,gaza,Palestine
38,israel says it will pull several brigades from gaza strip analysts say the announcement could signal a shift to the more limited and targeted war against hamas that the united states has been urging,hamas,Lebanon
38,israel says it will pull several brigades from gaza strip analysts say the announcement could signal a shift to the more limited and targeted war against hamas that the united states has been urging,hamas,Palestine
41,governor defiance tries to usurp washington s role by taking over the federal role in immigration enforcement governor abbott of texas is welcoming a legal fight with the biden administration,,NA
48,a gaza mayor s view of the conflict readers discuss a guest essay about the war s toll in gaza also western businesses in russia abortion pill case dogs and social media,gaza,Palestine
51,jan 18 axiom space may send a crew of italian swedish and turkish astronauts to the international space station visits to the international space station are valuable and would be astronauts and their countries can wait a long time for the opportunity in addition to wealthy adventurers axiom space is making it possible for people to make the trip from countries that have seldom or never had astronauts aboard the orbital outpost the three on the ax 3 flight are alper gezeravci who will be the first turkish astronaut marcus wandt a european space agency astronaut from sweden and walter villadei an italian air force pilot who previously flew to the edge of space on a virgin galactic rocket plane a launch on wednesday was postponed to thursday,,NA
55,jan 8 the new vulcan rocket launched astrobotic s uncrewed lander toward the moon united launch alliance a joint venture between boeing and lockheed martin conducted the first flight of vulcan its new rocket the rocket used engines built by blue origin the space company founded by jeff bezos of amazon it carried peregrine a robotic lander built by astrobotic of pittsburgh on a nasa sponsored mission to sinus viscositatis on the moon s near side the mission is expected to reach the lunar surface in late february aiming to be the first privately built moon lander to do so look back on the launch here,,NA
57,powerful earthquake hits japan setting off tsunami warnings the epicenter of the quake was in ishikawa prefecture along the west coast of japan,,NA
58,putin vows to keep up bombardment after a russian city is hit president vladimir v putin of russia says his country will continue targeting ukrainian cities in retaliation for a deadly attack on the city of belgorod on saturday,,NA
61,5 killed in queens car crash on new year s day the accident occurred on the cross island parkway along a part known for its dangerous curve residents said,,NA
63,powerful earthquake hits japan and officials warn of aftershocks there were reports of collapsed buildings and people being trapped underneath them the quake disrupted electricity and phone service and initially raised fears of a tsunami,,NA
71,south korean opposition leader is stabbed lee jae myung the democratic party head was attacked by a 66 year old man in the city of busan the police said mr lee is now recovering from surgery,,NA
73,6 year old dies in staten island house fire firefighters responded to the fire at a two story home in the northern part of the new york city borough the authorities said,,NA
74,maine secretary of state targeted by swatting after trump ballot decision shenna bellows is the latest politician to fall victim to a hoax emergency call meant to provoke an armed police response,,NA
81,russia hammers kyiv with missiles in large scale attack russia said that ukraine retaliated hours later with missile attacks on russian territory part of an escalating cycle of air assaults between the two countries,,NA
90,a miracle plane erupts in flames landing in tokyo but all aboard survive japan airlines said all 367 passengers and 12 crew members had safely evacuated the jet but five crew members on a japanese coast guard plane that collided with it were killed,,NA
91,anime is going digital fans are wary as the industry continues to embrace computer generated work some audiences struggle to accept the change,,NA
95,in this debut novel power plays and contradictions abound true to the promise of its title the storm we made kicks up a weather system of epic proportions ranging from military terror during world war ii to domestic warmth,,NA
98,what s in a name the battle of baby t rex and nanotyrannus a dinosaur fossil listed for sale in london for 20 million embodies one of the most heated debates in paleontology,,NA
104,trump s final battle has begun the 2024 presidential election presents a definitive test for america,,NA
105,an almanac publisher s 2024 prediction tumultuous the publishers of the annual pocket chinese almanac say they were alarmed looking ahead to 2024,,NA
106,my second trip to gaza was as a hostage i will never return an israeli woman kidnapped in the oct 7 attack on israel by hamas recalls a visit to the gaza strip in another lifetime,gaza,Palestine
106,my second trip to gaza was as a hostage i will never return an israeli woman kidnapped in the oct 7 attack on israel by hamas recalls a visit to the gaza strip in another lifetime,hamas,Lebanon
106,my second trip to gaza was as a hostage i will never return an israeli woman kidnapped in the oct 7 attack on israel by hamas recalls a visit to the gaza strip in another lifetime,hamas,Palestine
114,colorado mother accused of murdering 2 of her children is arrested in london kimberlee singler was taken into custody on saturday days after the authorities in colorado issued a warrant for her arrest,,NA
116,your 2024 most anticipated list what are you looking forward to this year,,NA
121,the twin fronts in the battle over israel s identity monday s court ruling joined the war in gaza in a widening crisis over what kind of state israel will be,gaza,Palestine
128,should ukraine consider an armistice readers discuss actions the u s and ukraine should take also rape of israeli women private equity firms high housing costs birds not birdbrains,,NA
130,earthquake kills dozens in japan rescuers continued to search for people trapped in the rubble a day after an earthquake struck western japan,,NA
137,top hamas official is killed in lebanon as fears grow of a wider war the israeli government would not comment on the death of saleh al arouri but a u s official said to expect israel to assassinate hamas officials for years,hamas,Lebanon
137,top hamas official is killed in lebanon as fears grow of a wider war the israeli government would not comment on the death of saleh al arouri but a u s official said to expect israel to assassinate hamas officials for years,hamas,Palestine
139,buildings smolder after russian air attacks on kyiv first responders put out fires after russia bombarded the ukrainian capital with missiles and drones,,NA
144,who was saleh al arouri the senior hamas leader killed in beirut the hamas deputy who the group said had been killed helped usher in closer ties with the iran backed hezbollah militia and was accused of masterminding attacks in israel,hamas,Lebanon
144,who was saleh al arouri the senior hamas leader killed in beirut the hamas deputy who the group said had been killed helped usher in closer ties with the iran backed hezbollah militia and was accused of masterminding attacks in israel,hamas,Palestine
144,who was saleh al arouri the senior hamas leader killed in beirut the hamas deputy who the group said had been killed helped usher in closer ties with the iran backed hezbollah militia and was accused of masterminding attacks in israel,hezbollah,Lebanon
149,what the civil war was about yes it was about slavery and slavery was driven by greed,,NA
151,ferrari and the killer 1 cinematographer 2 very different looks erik messerschmidt worked with the directors michael mann and david fincher to create cohesive worlds that feel nothing alike,,NA
154,maureen flavin sweeney dies at 100 her weather report delayed d day she helped save general eisenhower s invasion from potential disaster enabling the allies to gain a foothold in france that was essential to victory in world war ii,,NA
157,wednesday briefing beirut blast kills senior hamas leader plus the great winter festivals of asia,hamas,Lebanon
157,wednesday briefing beirut blast kills senior hamas leader plus the great winter festivals of asia,hamas,Palestine
160,netanyahu allies signal pause in campaign to rein in judges with israel fighting in gaza people on both sides of the judiciary debate appear unwilling to return to the domestic upheaval that preceded the war,gaza,Palestine
161,who is alan garber harvard s interim president dr garber is an economist and physician who told the harvard crimson that he regretted the university s initial statement in response to the israel hamas war,hamas,Lebanon
161,who is alan garber harvard s interim president dr garber is an economist and physician who told the harvard crimson that he regretted the university s initial statement in response to the israel hamas war,hamas,Palestine
166,harvard s president resigned after plagiarism accusations also a senior hamas leader was killed in beirut here s the latest at the end of tuesday,hamas,Lebanon
166,harvard s president resigned after plagiarism accusations also a senior hamas leader was killed in beirut here s the latest at the end of tuesday,hamas,Palestine
167,haley s civil war gaffe complicates her new hampshire push her failure to mention slavery in response to a question about the causes of the civil war has given chris christie fresh ammunition as they compete for the anti trump vote,,NA
168,conservative group wins legal victory over 2020 voting challenges in georgia the group true the vote had been accused by the liberal organization fair fight of violating the voting rights act by intimidating voters a judge rejected the claims,,NA
