country,ner,type
afghanistan,kabul,capital
afghanistan,khorasan,other_ner
afghanistan,iskp,other_ner
afghanistan,nrf,other_ner
afghanistan,afghanistan,country_name
aland islands,aland islands,country_name
albania,tirana,capital
albania,albania,country_name
algeria,algiers,capital
algeria,algeria,country_name
american samoa,american samoa,country_name
andorra,andorra la vella,capital
andorra,andorra,country_name
angola,luanda,capital
angola,flec,other_ner
angola,angola,country_name
anguilla,the valley,capital
anguilla,anguilla,country_name
antarctica,antarctica,country_name
antigua and barbuda,saint john s,capital
antigua and barbuda,antigua and barbuda,country_name
antigua barbuda,antigua barbuda,country_name
argentina,buenos aires,capital
argentina,argentina,country_name
armenia,yerevan,capital
armenia,armenia,country_name
aruba,aruba,country_name
australia,canberra,capital
australia,australia,country_name
austria,vienna,capital
austria,austria,country_name
austria hungary,austria hungary,country_name
azerbaijan,baku,capital
azerbaijan,azerbaijan,country_name
baden,baden,country_name
bahamas,nassau,capital
bahamas,bahamas,country_name
bahrain,manama,capital
bahrain,bahrain,country_name
bangladesh,dhaka,capital
bangladesh,bangladesh,country_name
barbados,bridgetown,capital
barbados,barbados,country_name
bavaria,bavaria,country_name
belarus,minsk,capital
belarus,belarus,country_name
belgium,brussels,capital
belgium,belgium,country_name
belize,belmopan,capital
belize,belize,country_name
benin,porto novo cotonou,capital
benin,jnim,other_ner
benin,benin,country_name
bermuda,bermuda,country_name
bhutan,thimphu,capital
bhutan,bhutan,country_name
bolivia,sucre,capital
bolivia,bolivia,country_name
bonaire sint eustatius and saba,bonaire sint eustatius and saba,country_name
bosnia and herzegovina,sarajevo,capital
bosnia and herzegovina,bosnia herzegovina,country_name
bosnia and herzegovina,bosnia,country_name
bosnia and herzegovina,bosnia and herzegovina,country_name
botswana,gaborone,capital
botswana,botswana,country_name
bouvet island,bouvet island,country_name
brazil,brasilia,capital
brazil,brazil,country_name
british indian ocean territory,british indian ocean territory,country_name
british virgin islands,british virgin islands,country_name
brunei,bandar seri begawan,capital
brunei,brunei,country_name
brunei darussalam,brunei darussalam,country_name
brunswick,brunswick,country_name
bulgaria,sofia,capital
bulgaria,bulgaria,country_name
burkina faso,ouagadougou,capital
burkina faso,jnim,other_ner
burkina faso,vdp,other_ner
burkina faso,issp,other_ner
burkina faso,islamic state sahel province,other_ner
burkina faso,burkina faso,country_name
burundi,gitega,capital
burundi,red tabara,other_ner
burundi,tabara,other_ner
burundi,burundi,country_name
cambodia,phnom penh,capital
cambodia,cambodia,country_name
cameroon,yaounde,capital
cameroon,fulani,other_ner
cameroon,iswap,other_ner
cameroon,islamic state west africa province,other_ner
cameroon,ambazon,other_ner
cameroon,cameroon,country_name
canada,ottawa,capital
canada,canada,country_name
cape verde,praia,capital
cape verde,cape verde,country_name
cape verde,cabo verde,country_name
caribbean netherlands,caribbean netherlands,country_name
cayman islands,cayman islands,country_name
central african republic,bangui,capital
central african republic,fulani,other_ner
central african republic,wagner group,other_ner
central african republic,central african republic,country_name
chad,n djamena,capital
chad,iswap,other_ner
chad,mouro,other_ner
chad,birgit,other_ner
chad,psf,other_ner
chad,chad,country_name
channel islands,channel islands,country_name
chile,santiago,capital
chile,chile,country_name
china,beijing,capital
china,china,country_name
christmas island,christmas island,country_name
cocos islands,cocos islands,country_name
colombia,bogota,capital
colombia,colombia,country_name
comoros,moroni,capital
comoros,comoros,country_name
cook islands,cook islands,country_name
costa rica,san jose,capital
costa rica,costa rica,country_name
cote d ivoire,yamoussoukro,capital
cote d ivoire,cote d ivoire,country_name
croatia,zagreb,capital
croatia,croatia,country_name
cuba,havana,capital
cuba,cuba,country_name
curacao,curacao,country_name
cyprus,nicosia,capital
cyprus,cyprus,country_name
czech republic,prague,capital
czechia,czechia,country_name
czechoslovakia,czechoslovakia,country_name
democratic republic of congo,kinshasa,capital
democratic republic of congo,adf,other_ner
democratic republic of congo,mayi mayi,other_ner
democratic republic of congo,biloze,other_ner
democratic republic of congo,codeco,other_ner
democratic republic of congo,mobondo,other_ner
democratic republic of congo,fpac,other_ner
democratic republic of congo,ituri,other_ner
democratic republic of congo,kasai,other_ner
democratic republic of congo,red tabara,other_ner
democratic republic of congo,tabara,other_ner
democratic republic of congo,eplc,other_ner
democratic republic of congo,wazalendo,other_ner
democratic republic of congo,uplc,other_ner
democratic republic of congo,baraka,other_ner
democratic republic of congo,congo kinshasa,country_name
democratic republic of congo,congo,country_name
denmark,copenhagen,capital
denmark,denmark,country_name
djibouti,djibouti,capital
djibouti,djibouti,country_name
dominica,roseau,capital
dominica,dominica,country_name
dominican republic,santo domingo,capital
dominican republic,dominican republic,country_name
east timor,dili,capital
ecuador,quito,capital
ecuador,los chandy,other_ner
ecuador,ecuador,country_name
egypt,cairo,capital
egypt,egypt,country_name
el salvador,san salvador,capital
el salvador,el salvador,country_name
equatorial guinea,malabo,capital
equatorial guinea,equatorial guinea,country_name
eritrea,asmara,capital
eritrea,eritrea,country_name
estonia,tallinn,capital
estonia,estonia,country_name
