news_index,nyt_txt,country
2,u s helicopters sink 3 houthi boats in red sea pentagon says iranian backed houthi gunmen from yemen had fired on american helicopters responding to an attack on a commercial ship american officials said,yemen
2,u s helicopters sink 3 houthi boats in red sea pentagon says iranian backed houthi gunmen from yemen had fired on american helicopters responding to an attack on a commercial ship american officials said,iran
9,monday briefing friction between the u s and israel,israel
38,israel says it will pull several brigades from gaza strip analysts say the announcement could signal a shift to the more limited and targeted war against hamas that the united states has been urging,israel
38,israel says it will pull several brigades from gaza strip analysts say the announcement could signal a shift to the more limited and targeted war against hamas that the united states has been urging,palestine
38,israel says it will pull several brigades from gaza strip analysts say the announcement could signal a shift to the more limited and targeted war against hamas that the united states has been urging,lebanon
48,a gaza mayor s view of the conflict readers discuss a guest essay about the war s toll in gaza also western businesses in russia abortion pill case dogs and social media,palestine
48,a gaza mayor s view of the conflict readers discuss a guest essay about the war s toll in gaza also western businesses in russia abortion pill case dogs and social media,russia
58,putin vows to keep up bombardment after a russian city is hit president vladimir v putin of russia says his country will continue targeting ukrainian cities in retaliation for a deadly attack on the city of belgorod on saturday,russia
71,south korean opposition leader is stabbed lee jae myung the democratic party head was attacked by a 66 year old man in the city of busan the police said mr lee is now recovering from surgery,south korea
77,tuesday briefing a landmark court ruling in israel,israel
81,russia hammers kyiv with missiles in large scale attack russia said that ukraine retaliated hours later with missile attacks on russian territory part of an escalating cycle of air assaults between the two countries,russia
81,russia hammers kyiv with missiles in large scale attack russia said that ukraine retaliated hours later with missile attacks on russian territory part of an escalating cycle of air assaults between the two countries,ukraine
106,my second trip to gaza was as a hostage i will never return an israeli woman kidnapped in the oct 7 attack on israel by hamas recalls a visit to the gaza strip in another lifetime,palestine
106,my second trip to gaza was as a hostage i will never return an israeli woman kidnapped in the oct 7 attack on israel by hamas recalls a visit to the gaza strip in another lifetime,israel
106,my second trip to gaza was as a hostage i will never return an israeli woman kidnapped in the oct 7 attack on israel by hamas recalls a visit to the gaza strip in another lifetime,lebanon
121,the twin fronts in the battle over israel s identity monday s court ruling joined the war in gaza in a widening crisis over what kind of state israel will be,israel
121,the twin fronts in the battle over israel s identity monday s court ruling joined the war in gaza in a widening crisis over what kind of state israel will be,palestine
124,why a port deal has the horn of africa on edge a landmark pact between ethiopia and the breakaway region of somaliland has drawn condemnation from somalia other neighbors also worry about allowing potential naval access to the red sea,ethiopia
124,why a port deal has the horn of africa on edge a landmark pact between ethiopia and the breakaway region of somaliland has drawn condemnation from somalia other neighbors also worry about allowing potential naval access to the red sea,somaliland
124,why a port deal has the horn of africa on edge a landmark pact between ethiopia and the breakaway region of somaliland has drawn condemnation from somalia other neighbors also worry about allowing potential naval access to the red sea,somalia
128,should ukraine consider an armistice readers discuss actions the u s and ukraine should take also rape of israeli women private equity firms high housing costs birds not birdbrains,ukraine
128,should ukraine consider an armistice readers discuss actions the u s and ukraine should take also rape of israeli women private equity firms high housing costs birds not birdbrains,israel
137,top hamas official is killed in lebanon as fears grow of a wider war the israeli government would not comment on the death of saleh al arouri but a u s official said to expect israel to assassinate hamas officials for years,lebanon
137,top hamas official is killed in lebanon as fears grow of a wider war the israeli government would not comment on the death of saleh al arouri but a u s official said to expect israel to assassinate hamas officials for years,palestine
137,top hamas official is killed in lebanon as fears grow of a wider war the israeli government would not comment on the death of saleh al arouri but a u s official said to expect israel to assassinate hamas officials for years,israel
139,buildings smolder after russian air attacks on kyiv first responders put out fires after russia bombarded the ukrainian capital with missiles and drones,russia
139,buildings smolder after russian air attacks on kyiv first responders put out fires after russia bombarded the ukrainian capital with missiles and drones,ukraine
144,who was saleh al arouri the senior hamas leader killed in beirut the hamas deputy who the group said had been killed helped usher in closer ties with the iran backed hezbollah militia and was accused of masterminding attacks in israel,lebanon
144,who was saleh al arouri the senior hamas leader killed in beirut the hamas deputy who the group said had been killed helped usher in closer ties with the iran backed hezbollah militia and was accused of masterminding attacks in israel,palestine
144,who was saleh al arouri the senior hamas leader killed in beirut the hamas deputy who the group said had been killed helped usher in closer ties with the iran backed hezbollah militia and was accused of masterminding attacks in israel,iran
144,who was saleh al arouri the senior hamas leader killed in beirut the hamas deputy who the group said had been killed helped usher in closer ties with the iran backed hezbollah militia and was accused of masterminding attacks in israel,israel
154,maureen flavin sweeney dies at 100 her weather report delayed d day she helped save general eisenhower s invasion from potential disaster enabling the allies to gain a foothold in france that was essential to victory in world war ii,france
157,wednesday briefing beirut blast kills senior hamas leader plus the great winter festivals of asia,lebanon
157,wednesday briefing beirut blast kills senior hamas leader plus the great winter festivals of asia,palestine
160,netanyahu allies signal pause in campaign to rein in judges with israel fighting in gaza people on both sides of the judiciary debate appear unwilling to return to the domestic upheaval that preceded the war,israel
160,netanyahu allies signal pause in campaign to rein in judges with israel fighting in gaza people on both sides of the judiciary debate appear unwilling to return to the domestic upheaval that preceded the war,palestine
166,harvard s president resigned after plagiarism accusations also a senior hamas leader was killed in beirut here s the latest at the end of tuesday,lebanon
166,harvard s president resigned after plagiarism accusations also a senior hamas leader was killed in beirut here s the latest at the end of tuesday,palestine
171,hamas used gaza hospital as a command center u s intelligence says israeli forces stormed the site in november drawing intense international scrutiny and criticism,lebanon
171,hamas used gaza hospital as a command center u s intelligence says israeli forces stormed the site in november drawing intense international scrutiny and criticism,palestine
171,hamas used gaza hospital as a command center u s intelligence says israeli forces stormed the site in november drawing intense international scrutiny and criticism,israel
181,wednesday briefing the killing of a hamas leader,lebanon
181,wednesday briefing the killing of a hamas leader,palestine
183,abrupt dismissals point to xi jinping s quiet shake up of china s military the purge of several commanders from china s legislature was the latest sign of widening investigations focused on the sensitive arms sector experts say,china
184,hamas blames israel for the death of a senior official in lebanon israel and the surrounding region were on edge wednesday a day after the assassination of a top hamas leader in lebanon heightened worries that the war in gaza could spill over into a broader conflict,lebanon
184,hamas blames israel for the death of a senior official in lebanon israel and the surrounding region were on edge wednesday a day after the assassination of a top hamas leader in lebanon heightened worries that the war in gaza could spill over into a broader conflict,palestine
184,hamas blames israel for the death of a senior official in lebanon israel and the surrounding region were on edge wednesday a day after the assassination of a top hamas leader in lebanon heightened worries that the war in gaza could spill over into a broader conflict,israel
196,it s time for america to go back to afghanistan since the u s withdrawal from afghanistan washington has isolated the taliban a tactic that backfired the last time the group was in power,afghanistan
220,knife attack on opposition leader raises alarms in polarized south korea the attack on lee jae myung who narrowly lost the 2022 presidential vote came amid a deepening political divide and increasingly extreme discourse in south korea,south korea
225,the new campus politics the resignation of harvard s president shows how the hamas attacks have scrambled campus politics,lebanon
225,the new campus politics the resignation of harvard s president shows how the hamas attacks have scrambled campus politics,palestine
226,al arouri s killing is a blow to hamas though likely not a debilitating one analysts say the killing of saleh al arouri deprives hamas of one of its most skilled tacticians who helped route money and weapons to its operatives in gaza and elsewhere in the middle east and integrated the group more tightly into iran s network of forces committed to fighting israel according to analysts,lebanon
226,al arouri s killing is a blow to hamas though likely not a debilitating one analysts say the killing of saleh al arouri deprives hamas of one of its most skilled tacticians who helped route money and weapons to its operatives in gaza and elsewhere in the middle east and integrated the group more tightly into iran s network of forces committed to fighting israel according to analysts,palestine
226,al arouri s killing is a blow to hamas though likely not a debilitating one analysts say the killing of saleh al arouri deprives hamas of one of its most skilled tacticians who helped route money and weapons to its operatives in gaza and elsewhere in the middle east and integrated the group more tightly into iran s network of forces committed to fighting israel according to analysts,iran
226,al arouri s killing is a blow to hamas though likely not a debilitating one analysts say the killing of saleh al arouri deprives hamas of one of its most skilled tacticians who helped route money and weapons to its operatives in gaza and elsewhere in the middle east and integrated the group more tightly into iran s network of forces committed to fighting israel according to analysts,israel
229,bombing in iran kills over 100 sowing confusion and speculation no one claimed responsibility for the bombing at a memorial for qassim suleimani the top commander killed by a u s drone strike four years ago,iran
245,leader s killing is a blow but not a knockout for hamas the killing of saleh al arouri a key hamas strategist in lebanon sets the organization back at a vulnerable time the group has rebuilt after the assassination of other leaders though,lebanon
245,leader s killing is a blow but not a knockout for hamas the killing of saleh al arouri a key hamas strategist in lebanon sets the organization back at a vulnerable time the group has rebuilt after the assassination of other leaders though,palestine
257,who was the iranian general qassim suleimani general suleimani the powerful commander heading iran s quds force was considered a hero by some in the country the anniversary of his death has attracted horrific violence,iran
