,nyt_title,nyt_date,nyt_abstract,nyt_url,news_index,poli_con_class,
2401,The Growing Private-Sector Involvement in Canadian Public Health Care Systems,2024-01-20,Ontario announced plans this week to further expand services offered through privately owned clinics under its health plan.,https://www.nytimes.com/2024/01/20/world/canada/canada-letter-private-health-care.html,2401,0,
8376,"Who Won, Who Lost and What’s Still Undecided From Super Tuesday",2024-03-06,The presidential candidates weren’t the only ones on the ballot.,https://www.nytimes.com/2024/03/06/us/politics/super-tuesday-won-lost.html,8376,0,
5547,Why So Many Palestinians and Israelis Are Talking About Marwan Barghouti,2024-02-14,"His name may not be familiar to many Americans, but people in the Middle East know it well.",https://www.nytimes.com/2024/02/14/opinion/marwan-barghouti-palestinian-israel.html,5547,0,
6306,Three Questions About Rafah,2024-02-20,A looming battle in the southern Gaza city embodies the brutal dynamics of the conflict.,https://www.nytimes.com/2024/02/20/briefing/rafah-israel-gaza-war.html,6306,1,
10429,Trump Indicates He Would Back a 15-Week Federal Abortion Ban,2024-03-20,"The remarks on a radio show came after he had been privately expressing support for a similar ban, at 16 weeks.",https://www.nytimes.com/2024/03/20/us/politics/trump-15-week-federal-abortion-ban.html,10429,0,
5725,Bobby Kennedy and Tom Suozzi,2024-02-15,Suozzi’s campaign offered an early glimpse of messages that Democrats plan to use against Donald Trump.,https://www.nytimes.com/2024/02/15/briefing/bobby-kennedy-and-tom-suozzi.html,5725,0,
1371,"Accused of Genocide, Israelis See Reversal of Reality. Palestinians See Justice.",2024-01-12,"Israel stands accused of committing genocide in Gaza. To Israelis, the charge is a perversion of history. But for Palestinians it creates a fleeting sense of justice.",https://www.nytimes.com/2024/01/12/world/middleeast/israel-palestinians-icj-genocide.html,1371,1,
1478,Why Jan. 6 Wasn’t an Insurrection,2024-01-12,Comparing the Capitol riot to the Beer Hall Putsch and the Whiskey Rebellion.,https://www.nytimes.com/2024/01/12/opinion/jan-6-not-insurrection.html,1478,0,
2288,Making Changes to U.S. Immigration Policy,2024-01-19,Readers discuss a guest essay suggesting ways to fix the immigration crisis. Also: Aid to Ukraine; Nikki Haley and the Confederate flag; Botox.,https://www.nytimes.com/2024/01/19/opinion/immigration-policy.html,2288,0,
686,Bangladesh Leader Headed to 4th Straight Term in Vote Marred by Crackdown,2024-01-07,"With the opposition in jail or off the ballots in a boycott, the prime minister for the past 15 years was expected to maintain her grip on power in what appeared to be a low-turnout vote.",https://www.nytimes.com/2024/01/07/world/asia/bangladesh-election.html,686,0,
71,South Korean Opposition Leader Is Stabbed,2024-01-02,"Lee Jae-myung, the Democratic Party head, was attacked by a 66-year-old man in the city of Busan, the police said. Mr. Lee is now recovering from surgery.",https://www.nytimes.com/2024/01/01/world/asia/south-korea-opposition-lee-jae-myung.html,71,1,
4001,"10 Guards, 900 Inmates and the Dire Results of Warnings Ignored",2024-02-02,"An extreme shortage of guards at Wisconsin’s prisons has slowed basic operations to a crawl. Inmates escaped, prisons locked down and conditions deteriorated.",https://www.nytimes.com/2024/02/02/us/wi-prison-staffing-shortage.html,4001,0,
11702,Welcome to the Jess Bidgood Era,2024-03-29,"After a long and exhaustive search, we have found our next newsletter writer.",https://www.nytimes.com/2024/03/29/us/politics/bidgood-biden-trump.html,11702,0,
5666,Thursday Briefing,2024-02-15,Russian advances on a space-based nuclear weapon.,https://www.nytimes.com/2024/02/15/briefing/russia-space-nuclear-weapon-indonesia-president.html,5666,0,
9257,The Bay Area Leads the National Shift to Electric Vehicles,2024-03-12,San Jose and San Francisco had the highest E.V. adoption rate among major U.S. metropolitan areas last year.,https://www.nytimes.com/2024/03/12/us/bay-area-electric-vehicles.html,9257,0,
10421,E.U. Finds a Way to Make Russia Pay for Weapons for Ukraine,2024-03-20,"Using interest earned on frozen Russian assets held in Europe, the bloc plans to raise billions. But other ways to pay for new weapons remain elusive.",https://www.nytimes.com/2024/03/20/world/europe/eu-russia-weapons-ukraine.html,10421,1,
1172,Haley Hits DeSantis on Disney: Government Shouldn’t ‘Bully’ Companies,2024-01-11,The former South Carolina governor cast the Florida governor as anti-business.,https://www.nytimes.com/2024/01/10/us/politics/desantis-disney-haley.html,1172,0,
1702,The Weather in Iowa Is Not the Only Thing That Is Bitterly Cold,2024-01-15,It might as well be “Frozen III” in Des Moines. And what a cast of characters.,https://www.nytimes.com/2024/01/15/opinion/iowa-trump-biden-cold.html,1702,0,
10393,Ex-General Accused of Rights Abuses Is Declared Winner of Indonesia Election,2024-03-20,"The official result confirmed projections made after last month’s vote, which raised concerns about the vibrancy of the country’s democracy.",https://www.nytimes.com/2024/03/20/world/asia/prabowo-official-indonesia-election.html,10393,0,
5127,No More Legal Games for Donald Trump,2024-02-10,The Supreme Court can put a stop to the former president’s attempts to delay his criminal trial.,https://www.nytimes.com/2024/02/10/opinion/editorials/trump-immunity-supreme-court.html,5127,0,
2002,"In Norway, a Proposed Ban on Foreign Adoptions Rattles All Sides of a Heated Debate",2024-01-17,"A policy body recommended this week that the country halt all foreign adoptions amid allegations of stolen children, falsified paperwork and for-profit adoption schemes.",https://www.nytimes.com/2024/01/17/world/europe/foreign-adoptions-ban-norway-denmark.html,2002,0,
1408,Removal of Netflix Film Shows Advancing Power of India’s Hindu Right Wing,2024-01-12,The movie “Annapoorani” was about a female chef overcoming caste prejudice. Hindu activists said it hurt their feelings.,https://www.nytimes.com/2024/01/12/world/asia/india-netflix-hindu.html,1408,0,
3335,Washington Man Pleads Guilty to Making Numerous ‘Swatting’ Calls,2024-01-27,"Ashton Connor Garcia, who called himself a “cyberterrorist,” made 20 calls about fake bombs, shootings and other threats that drew police responses, officials said.",https://www.nytimes.com/2024/01/27/us/washington-swatting-fake-emergencies.html,3335,0,
10771,"Gunmen Kill 60 at Concert Hall Outside Moscow, Russian Authorities Say",2024-03-22,"The Islamic State claimed the attack, the deadliest in the Moscow region in more than a decade.",https://www.nytimes.com/2024/03/22/world/europe/moscow-shooting.html,10771,1,
783,The Election No One Seems to Want Is Coming Right at Us,2024-01-08,It’s 2024. Sorry.,https://www.nytimes.com/2024/01/08/opinion/trump-biden-claudine-gay.html,783,0,
10738,Congress Passes Spending Bill in Wee Hours to Fend Off Shutdown,2024-03-22,"After hours of delay, the Senate overwhelmingly voted for the $1.2 trillion bill to fund more than half of the government, sending the measure to President Biden’s desk.",https://www.nytimes.com/2024/03/22/us/politics/congress-spending-bill-government-shutdown.html,10738,0,
1653,How the Iowa Caucuses Work,2024-01-14,"The parties, not the state government, run the caucuses, which have a different feel from most other balloting.",https://www.nytimes.com/2024/01/14/us/politics/iowa-caucus-vote-how-where-when.html,1653,0,
5625,F.B.I. Director Makes a Secret Trip to Israel,2024-02-14,"Christopher A. Wray, whose agency has worked with Israeli authorities to pursue atrocities committed by Hamas, has made his first visit to Israel since the war began, the bureau disclosed.",https://www.nytimes.com/2024/02/14/world/middleeast/israel-fbi-christopher-wray.html,5625,1,
10803,Chicago Voters Reject Real Estate Tax Change to Fund Homeless Programs,2024-03-22,"The referendum, backed by progressives but criticized by the real estate industry, called for raising transfer taxes on properties that sell for more than $1 million.",https://www.nytimes.com/2024/03/22/us/chicago-real-estate-tax-vote.html,10803,0,
6370,Read the Charging Documents Against Lyndell Mays,2024-02-20,"Two Missouri residents, Dominic Miller and Lyndell Mays, were charged with murder in the shooting that erupted after the Super Bowl parade in Kansas City, Mo. Here are the charging documents against Lyndell Mays.",https://www.nytimes.com/interactive/2024/02/20/us/mays-kc-charging-docs.html,6370,0,
8230,Texas 33rd Congressional District Primary Election Results,2024-03-05,Get live results and maps from the 2024 Texas primary election.,https://www.nytimes.com/interactive/2024/03/05/us/elections/results-texas-us-house-33-primary.html,8230,0,
8489,Israel-Hamas Talks Over Hostage Releases and a Cease-Fire Stall,2024-03-06,"Officials say Hamas has continued to press Israel for a commitment to a permanent cease-fire after a multistage release of all hostages, but Israel has refused.",https://www.nytimes.com/2024/03/06/us/politics/israel-hamas-hostages.html,8489,1,
10600,Civil Judgments Sting as Criminal Cases Slow,2024-03-21,Civil cases are keeping the pressure on Donald Trump ahead of his four criminal trials.,https://www.nytimes.com/2024/03/21/us/politics/trump-trial-civil-cases-bond.html,10600,0,
10450,Coming Up After the Break: Trump Picks a Running Mate,2024-03-20,"The former president, who knows a thing or two about televised drama, is already dropping hints.",https://www.nytimes.com/2024/03/20/us/politics/trump-running-mate.html,10450,0,
7536,Pennsylvania Plans Task Force to Combat Election Disruptions,2024-02-29,"The federal-state joint effort will aim to “combat misinformation, safeguard the rights of every citizen and ensure this election is safe, secure, free and fair,” Gov. Josh Shapiro said.",https://www.nytimes.com/2024/02/29/us/politics/pennsylania-elections-misinformation-task-force.html,7536,0,
1552,U.N. Warns Gaza Is Heading for Famine as Specter of Wider War Looms,2024-01-13,Officials of the Iran-backed Houthi militia in Yemen threatened to respond to American-led airstrikes over the past two days.,https://www.nytimes.com/2024/01/13/world/middleeast/houthis-yemen-us-strikes-gaza.html,1552,1,
8124,"Fewer Voters Think Trump Committed Crimes, Polls Show",2024-03-05,"A strategy to delay Donald J. Trump’s trials may be changing views, with the percentage of voters who see his actions as crimes falling across the spectrum since December.",https://www.nytimes.com/2024/03/05/us/politics/donald-trump-poll-crimes.html,8124,0,
2332,Can Elon Musk Really Do That?,2024-01-19,His demand to own 25 percent of Tesla’s shares is a fascinating stress test of corporate governance.,https://www.nytimes.com/2024/01/19/opinion/elon-musk-tesla-ai.html,2332,0,
5998,Are There Any Persuadable Voters Left?,2024-02-16,“You want me to name them individually? Because I probably could at this point.”,https://www.nytimes.com/2024/02/16/us/politics/presidential-election-voters.html,5998,0,
2526,Landslide in China Wipes Out Fields and Houses,2024-01-22,"Footage from China Central Television, a state media outlet, showed a landslide that flowed down a snowy mountain in Yunnan Province.",https://www.nytimes.com/video/world/asia/100000009275774/china-landslide-buries-dozens.html,2526,0,
7973,Four Years Since California Declared a Covid Emergency,2024-03-04,The state recently adopted some of the most lax Covid guidance in the nation.,https://www.nytimes.com/2024/03/04/us/california-covid-emergency.html,7973,0,
